,cast,crew,budget,genres,keywords,original_language,original_title,popularity,production_companies,production_countries,revenue,runtime,status,vote_average,vote_count,release_year,release_month,release_quarter
818,"['Tom Hanks', 'Catherine Keener', 'Max Martini']",['Paul Greengrass'],55000000,"['Action', 'Drama', 'Thriller']","['ship', 'hijacking', 'somalia', 'fisherman', 'blood', 'poverty', 'pirate', 'terrorism', 'commando', 'hijack', 'cargo ship', 'ship captain', 'ship hijacking', 'somali', 'commando unit']",en,Captain Phillips,52.786917,['Columbia Pictures'],['United States of America'],95000000,134.0,Released,7.6,2454,2013,10,4
819,"['Tina Fey', 'Steve Carell', 'Mark Wahlberg']",['Shawn Levy'],55000000,['Comedy'],"['date', 'corruption', 'taxi', 'expensive restaurant', 'wife husband relationship', 'gun', 'boat', 'taxi driver', 'document', 'restaurant', 'roof', 'married couple', 'politician', 'stripper', 'shooting', 'thief', 'car crash', 'stealing', 'mistaken identity', 'police corruption', 'aftercreditsstinger', 'duringcreditsstinger']",en,Date Night,38.061679999999996,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', '21 Laps Entertainment']",['United States of America'],152263880,97.0,Released,5.9,1122,2010,4,2
820,"['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty']",['Brad Silberling'],50000000,"['Fantasy', 'Comedy', 'Family']","['halloween', 'friendship', 'supernatural', 'afterlife', 'friends', 'danger', 'ghost', 'disorder', 'young heroes', 'imaginary', 'supernatural ability', 'mischievous children']",en,Casper,19.830132,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",['United States of America'],287928194,100.0,Released,6.0,1019,1995,5,2
821,"['Denzel Washington', 'Marton Csokas', 'Chloë Grace Moretz']",['Antoine Fuqua'],55000000,"['Thriller', 'Action', 'Crime']","['corruption', 'assassin', 'hostage', 'fbi', 'hitman', 'russian', 'security camera', 'sadism', 'vigilante', 'sociopath', 'revenge', 'suspense', 'organized crime', 'gore', 'gangster', 'violence', 'teenage prostitute', 'commando', 'interrogation', 'surveillance', 'ex soldier', 'faked death', 'loner', 'call girl', 'black ops', 'hand to hand combat', 'mysterious past']",en,The Equalizer,79.92205899999999,"['Columbia Pictures', 'Village Roadshow Pictures', 'Escape Artists', 'Mace Neufeld Productions', 'LStar Capital', 'Lonetree Entertainment']",['United States of America'],192330738,132.0,Released,7.1,2954,2014,9,3
822,"['Jennifer Lopez', 'Ralph Fiennes', 'Natasha Richardson']",['Wayne Wang'],55000000,"['Comedy', 'Drama', 'Romance']","['hotel', 'politician', 'mistaken identity', 'maid', 'class differences', 'single mother', 'public relations', 'maid uniform', 'hotel clerk', 'wealth differences']",en,Maid in Manhattan,19.738215,['Red Om Films'],['United States of America'],154906693,105.0,Released,5.6,485,2002,12,4
823,"['Denzel Washington', 'Gene Hackman', 'Matt Craven']",['Tony Scott'],53000000,"['Action', 'Thriller', 'Drama']","['submarine', 'mutiny', 'russia', 'missile', 'nuclear missile', 'embassy', 'u.s. navy', 'battle for power', 'torpedo', 'military', 'moral dilemma', 'post cold war', 'aircraft carrier', 'chain of command', 'launch code', 'sonar']",en,Crimson Tide,20.334629,"['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],157387195,116.0,Released,7.0,498,1995,5,2
824,"['Will Smith', 'Jaden Smith', 'Thandie Newton']",['Gabriele Muccino'],55000000,['Drama'],"['san francisco', 'single parent', 'homeless person', 'bus', 'worker', 'homelessness', 'work', 'church service', 'bad luck', 'biography', 'salesman', 'stockbroker']",en,The Pursuit of Happyness,80.581367,"['Columbia Pictures Corporation', 'Escape Artists', 'Relativity Media', 'Overbrook Entertainment']",['United States of America'],307077295,117.0,Released,7.7,2525,2006,12,4
825,"['Jodie Foster', 'Peter Sarsgaard', 'Sean Bean']",['Robert Schwentke'],55000000,"['Thriller', 'Drama', 'Mystery']","['berlin', 'loss of father', 'airplane', 'baby-snatching']",en,Flightplan,32.05145,"['Imagine Entertainment', 'Touchstone Pictures']",['United States of America'],223387299,98.0,Released,6.1,772,2005,9,3
826,"['Michael Douglas', 'Demi Moore', 'Donald Sutherland']",['Barry Levinson'],55000000,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']","['employee', 'workplace', 'sexual harassment', 'intrigue']",en,Disclosure,15.064058,"['Warner Bros.', 'Baltimore Pictures']",['United States of America'],214015089,123.0,Released,5.9,210,1994,12,4
827,"['Nicolas Cage', 'Meg Ryan', 'Andre Braugher']",['Brad Silberling'],55000000,"['Drama', 'Fantasy', 'Romance']","['suicide', 'angel', 'life and death', 'desperation', 'operation', 'heaven', 'faith', 'afterlife', 'los angeles', 'interspecies romance']",en,City of Angels,21.272734,"['Atlas Entertainment', 'Regency Enterprises', 'Monarchy Enterprises B.V.', 'Warner Bros.', 'Taurus Film']","['United States of America', 'Germany']",198685114,114.0,Released,6.4,529,1998,4,2
828,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox']",['Quentin Tarantino'],30000000,"['Action', 'Crime']","['japan', 'coma', 'martial arts', 'kung fu', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'gore', 'female yakuza', 'blood', 'wedding', 'samurai sword', 'part animation']",en,Kill Bill: Vol. 1,79.75496600000001,"['Miramax Films', 'A Band Apart', 'Super Cool ManChu']",['United States of America'],180949000,111.0,Released,7.7,4949,2003,10,4
830,"['Uma Thurman', 'David Carradine', 'Daryl Hannah']",['Quentin Tarantino'],30000000,"['Action', 'Crime', 'Thriller']","['brother brother relationship', 'swordplay', 'katana', 'mother role', 'rage and hate', 'daughter', 'right and justice', 'single', 'aftercreditsstinger', 'duringcreditsstinger']",en,Kill Bill: Vol. 2,50.622607,"['Miramax Films', 'A Band Apart', 'Super Cool ManChu']",['United States of America'],152159461,136.0,Released,7.6,3948,2004,4,2
831,"['Sylvester Stallone', 'Kurt Russell', 'Teri Hatcher']","['Andrei Konchalovsky', 'Albert Magnoli']",55000000,"['Action', 'Adventure', 'Comedy']","['prisoner', 'war on drugs', 'los angeles']",en,Tango & Cash,22.787667000000003,['Warner Bros.'],['United States of America'],63408614,104.0,Released,6.1,458,1989,12,4
832,"['Meryl Streep', 'Bruce Willis', 'Goldie Hawn']",['Robert Zemeckis'],55000000,"['Fantasy', 'Comedy']","['jealousy', 'beauty', 'immortality', 'rivalry', 'potion', 'drinking']",en,Death Becomes Her,29.498303999999997,['Universal Pictures'],['United States of America'],149022650,104.0,Released,6.3,636,1992,7,3
833,"['Jackie Chan', 'Owen Wilson', 'Lucy Liu']",['Tom Dey'],55000000,"['Adventure', 'Action', 'Comedy', 'Western']","['princess', 'sioux', 'travel', 'rescue', 'native american', 'chinese', 'cowboy', 'duringcreditsstinger', '19th century']",en,Shanghai Noon,25.400935,"['Spyglass Entertainment', 'Roger Birnbaum Productions', 'Touchstone Pictures']","['Hong Kong', 'United States of America']",56932305,110.0,Released,6.2,735,2000,5,2
834,"['Kurt Russell', 'Steven Seagal', 'Halle Berry']",['Stuart Baird'],55000000,"['Action', 'Adventure', 'Drama', 'Thriller']","['bomb', 'ransom', 'hostage', 'airplane', 'hijacking', 'terror cell', 'special unit', 'deception', 'rescue', 'covert operation', 'disaster', 'shootout', 'terrorism', 'explosion', 'violence', 'surveillance', 'night vision goggles', 'flight attendant', 'intelligence agent', 'flashback', 'hand to hand combat', 'nerve gas']",en,Executive Decision,17.231675,"['Silver Pictures', 'Warner Bros.']",['United States of America'],121969216,133.0,Released,5.8,256,1996,3,1
835,"['Jim Carrey', 'Carla Gugino', 'Madeline Carroll']",['Mark Waters'],55000000,"['Comedy', 'Family']","['taxi', 'restaurant', 'zoo', 'penguin', 'ex husband', 'little boy', 'zookeeper', 'doorman', 'ride', 'bird hatching', 'aftercreditsstinger', 'duringcreditsstinger']",en,Mr. Popper's Penguins,32.835777,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Davis Entertainment', 'Dune Entertainment III']",['United States of America'],187361754,94.0,Released,5.7,751,2011,6,2
836,"['Jackie Chan', 'Jet Li', 'Michael Angarano']",['Rob Minkoff'],55000000,"['Action', 'Adventure', 'Fantasy']","['tempel', 'shaolin', 'teenager', 'urination', 'staff', 'warrior', 'monkey king']",en,The Forbidden Kingdom,17.097041,"['Casey Silver Productions', 'China Film Co-Production Corporation', 'Huayi Brothers', 'Relativity Media']","['China', 'United States of America']",127906624,104.0,Released,6.3,461,2008,4,2
837,"['Owen Wilson', 'Woody Harrelson', 'Amy Poehler']",['Jimmy Hayward'],55000000,"['Animation', 'Comedy', 'Family']","['holiday', 'thanksgiving', 'freedom', 'duringcreditsstinger', '3d']",en,Free Birds,14.414937,"['Reel FX Creative Studios', 'Relativity Media']",['United States of America'],110000000,91.0,Released,5.7,254,2013,10,4
838,"['Sigourney Weaver', 'Charles S. Dutton', 'Charles Dance']",['David Fincher'],50000000,"['Science Fiction', 'Action', 'Horror']","['prison', 'android', 'spacecraft', 'space marine', 'imprisonment', 'space colony', 'space travel', 'rottweiler', 'dystopia', 'sequel', 'alien', 'redemption', 'outer space', 'planet', 'shaved head', 'crash landing', 'impregnation', 'penal colony', 'furnace', 'suspended animation', 'xenomorph']",en,Alien³,45.856409,"['Twentieth Century Fox Film Corporation', 'Brandywine Productions']","['United Kingdom', 'United States of America']",159773545,114.0,Released,6.2,1633,1992,5,2
839,"['Madonna', 'Antonio Banderas', 'Jonathan Pryce']",['Alan Parker'],55000000,"['History', 'Drama', 'Music']","['prostitute', 'deification', 'dancehall hostess', 'perónism', 'argentine president', 'rise to power', 'singing narrator', 'soccer ball']",en,Evita,7.027139,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']","['United States of America', 'Hungary']",141047179,134.0,Released,5.9,120,1996,12,4
840,"['Robert De Niro', 'Jean Reno', 'Natascha McElhone']",['John Frankenheimer'],55000000,"['Action', 'Thriller', 'Crime', 'Adventure']","['paris', 'france', 'arms deal', 'audi', 'impostor', 'case', 'violence', 'ice skating', 'computer expert', 'ex kgb', 'preparation', 'hit with a car door', 'cellular phone trace', 'merry go round']",en,Ronin,32.657488,"['United Artists', 'FGM Entertainment']","['France', 'United Kingdom', 'United States of America']",41610884,122.0,Released,6.7,658,1998,9,3
841,"['Michael Douglas', 'Val Kilmer', 'Tom Wilkinson']",['Stephen Hopkins'],50000000,['Adventure'],"['africa', 'lion', 'bridge', 'based on true story', 'kenya', 'animal attack', 'lion attack', 'colonialism', 'swahili']",en,The Ghost and the Darkness,12.46525,"['Constellation Films', 'Paramount']","['Germany', 'United States of America']",75000000,109.0,Released,6.4,236,1996,10,4
842,"['Nicole Kidman', 'Peter Capaldi', 'Ben Whishaw']",['Paul King'],55000000,"['Family', 'Comedy']","['england', 'train station', 'based on novel', 'bear', 'anthropomorphism', 'talking to animals', ""children's book""]",en,Paddington,39.882276,"['The Weinstein Company', 'StudioCanal', 'TF1 Films Production', 'Canal+', 'Heyday Films', 'Ciné+', 'Anton Capital Entertainment (ACE)', 'TF1', 'Amazon Prime Instant Video']",['United Kingdom'],259207227,95.0,Released,7.0,883,2014,11,4
843,"['Ben Stiller', 'Vince Vaughn', 'Jonah Hill']",['Akiva Schaffer'],68000000,['Comedy'],"['usa', 'sterility', 'castration', 'marriage', 'friendship', 'alien', 'suburb', 'alien invasion', 'death', 'teenage daughter', 'neighborhood watch', 'creepy neighbor']",en,The Watch,39.395881,"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', '21 Laps Entertainment', 'Dune Entertainment III', 'Big Screen Productions', 'Down Productions']",['United States of America'],68267862,98.0,Released,5.3,881,2012,7,3
844,"['Tommy Lee Jones', 'Benicio del Toro', 'Connie Nielsen']",['William Friedkin'],55000000,"['Drama', 'Action', 'Thriller', 'Crime']","['hunter', 'fbi', 'knife', 'balkan war', 'woods', 'psychopathic killer', 'slaughter', 'survivalist', 'maniac', 'special forces', 'killing spree', 'combat', 'ex soldier', 'dark past', 'manhunt', 'gory violence']",en,The Hunted,8.634953999999999,"['Lakeshore Entertainment', 'Alphaville Films']",['United States of America'],34234008,94.0,Released,6.0,189,2003,3,1
846,"['Matt Damon', 'Greg Kinnear', 'Eva Mendes']","['Bobby Farrelly', 'Peter Farrelly']",55000000,['Comedy'],"['sex', 'dancer', 'martial arts', 'cook', 'stripper', 'love', 'bully', 'hollywood', 'twins', 'flashback', 'freak', 'actor', 'anxiety', 'conjoined', 'siamese']",en,Stuck on You,8.802525,"['Twentieth Century Fox Film Corporation', 'Conundrum Entertainment']",['United States of America'],33828318,118.0,Released,5.1,188,2003,12,4
848,"['Hugh Grant', 'Brendan Gleeson', 'Jeremy Piven']","['Peter Lord', 'Jeff Newitt']",60000000,"['Animation', 'Adventure', 'Family', 'Comedy']","['rivalry', 'stop motion', 'pirate', 'aftercreditsstinger', 'duringcreditsstinger']",en,The Pirates! In an Adventure with Scientists!,23.700758999999998,"['Columbia Pictures', 'Aardman Animations', 'Sony Pictures Animation']",['United Kingdom'],118338361,88.0,Released,6.4,374,2012,3,1
849,"['Angelina Jolie', 'Jeffrey Donovan', 'John Malkovich']",['Clint Eastwood'],55000000,"['Crime', 'Drama', 'Mystery']","['corruption', 'mother', 'nudity', 'minister', 'power', 'public', 'government', 'police', 'reunion', 'murder', 'conspiracy', 'los angeles', 'missing', 'mother love', 'criticism']",en,Changeling,27.509159999999998,"['Imagine Entertainment', 'Malpaso Productions', 'Relativity Media']",['United States of America'],113020255,141.0,Released,7.3,1131,2008,1,1
850,"['Keanu Reeves', 'Morgan Freeman', 'Rachel Weisz']",['Andrew Davis'],50000000,"['Action', 'Drama', 'Science Fiction', 'Thriller']","['fbi', 'hydrogen bomb', 'secret lab', 'energy supply', 'conspiracy', 'aftercreditsstinger']",en,Chain Reaction,20.588620000000002,"['Twentieth Century Fox Film Corporation', 'Chicago Pacific Entertainment', 'Zanuck Company, The']",['United States of America'],60209334,107.0,Released,5.3,284,1996,8,3
851,"['Robert De Niro', 'Wesley Snipes', 'Ellen Barkin']",['Tony Scott'],55000000,"['Drama', 'Mystery', 'Thriller']","['sport', 'luck', 'san francisco giants', 'child custody', 'baseball pitcher', 'baseball fan', 'psychotic fan', 'sports agent', 'driving range', 'steam room']",en,The Fan,4.3664879999999995,"['TriStar Pictures', 'Mandalay Entertainment']",['United States of America'],18626419,116.0,Released,5.7,194,1996,8,3
852,"['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson']",['Joel Schumacher'],70000000,"['Thriller', 'Drama', 'Romance']","['dancing', 'obsession', 'auction', 'wheelchair', 'rose', 'product placement', 'musical', 'remake', 'tragic villain', 'black and white', 'rooftop', 'heroine', 'disfigured face', 'based on stage musical', 'theater', 'disfigurement mask', 'breaking mirror', 'opera singer', '1910s']",en,The Phantom of the Opera,18.927463,"['Odyssey Entertainment', 'Warner Bros.', 'Scion Films', 'Really Useful Films']","['United Kingdom', 'United States of America']",154648887,143.0,Released,7.0,438,2004,12,4
853,"['Cate Blanchett', 'Clive Owen', 'Geoffrey Rush']",['Shekhar Kapur'],55000000,"['Drama', 'History', 'Romance']","['england', 'assassination', 'spain', 'virgin', 'colony', 'governance', 'queen elizabeth i', 'religious war', 'tudors', 'execution', 'middle ages', 'catholicism', 'sea battle', 'palace intrigue']",en,Elizabeth: The Golden Age,15.274137,"['Universal Pictures', 'StudioCanal', 'Working Title Films']",['United Kingdom'],74237563,114.0,Released,6.6,303,2007,9,3
854,"['Charlize Theron', 'Marton Csokas', 'Jonny Lee Miller']",['Karyn Kusama'],62000000,"['Action', 'Science Fiction']","['martial arts', 'dystopia', 'surrealism', 'based on cartoon', 'shootout', 'espionage', 'infertility', 'cyberpunk', 'extreme violence', 'sabotage', 'one against many', 'woman director', 'hand to hand combat', 'action heroine', 'human cloning', '25th century']",en,Æon Flux,29.954302000000002,"['Paramount Pictures', 'Lakeshore Entertainment', 'MTV Films', 'Colossal Pictures', 'Valhalla Motion Pictures', 'MTV Productions']",['United States of America'],52304001,93.0,Released,5.4,703,2005,11,4
855,"['Stephen Lang', 'Jeff Daniels', 'Robert Duvall']",['Ronald F. Maxwell'],56000000,"['Drama', 'History', 'War']","['war', 'battle', 'union soldier', 'confederate soldier', 'american civil war', 'secession']",en,Gods and Generals,4.362535,"['Warner Bros. Pictures', 'Turner Pictures', 'Antietam Filmworks']",['United States of America'],12923936,214.0,Released,6.1,48,2003,2,1
856,"['Ray Liotta', 'Lauren Holly', 'Brendan Gleeson']",['Robert Butler'],55000000,"['Action', 'Thriller', 'Crime']","['stewardess', 'airplane', 'shootout', 'air marshal', 'christmas', 'turbulence']",en,Turbulence,4.700024,"['Metro-Goldwyn-Mayer (MGM)', 'Rysher Entertainment']",['United States of America'],11466088,100.0,Released,5.2,62,1997,1,1
858,"['Ricky Gervais', 'Ty Burrell', 'Tina Fey']",['James Bobin'],50000000,"['Comedy', 'Adventure', 'Crime', 'Family']","['musical', 'the muppets']",en,Muppets Most Wanted,14.808304000000001,"['Buena Vista', 'Disney']",['United States of America'],80383290,112.0,Released,6.2,316,2014,3,1
859,"['Brady Corbet', 'Soren Fulton', 'Debora Weston']",['Jonathan Frakes'],57000000,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']","['secret organization', 'based on tv series', 'golden gate bridge', 'locker', 'oil rig\xa0', 'teenage hero', 'soaked clothes', 'thunderbirds']",en,Thunderbirds,9.27875,"['Studio Canal', 'Working Title Films', 'Tracy Films']","['United Kingdom', 'France']",28283637,95.0,Released,4.2,91,2004,7,3
860,"['Cher', 'Christina Aguilera', 'Eric Dane']",['Steve Antin'],55000000,"['Drama', 'Romance']","['musical', 'los angeles', 'burlesque', 'burlesque dancer']",en,Burlesque,22.863516,['Bedford Falls Productions'],['United States of America'],89519773,119.0,Released,6.9,573,2010,11,4
862,"['James Mason', 'Sue Lyon', 'Shelley Winters']",['Stanley Kubrick'],2000000,"['Drama', 'Romance']","['sexual obsession', 'hotel', 'depression', 'loss of mother', 'small town', 'flirt', 'midlife crisis', 'eroticism', 'youngster', 'lolita', 'motel', 'diary', 'seduction', 'forbidden love', 'professor for literature', 'provocation', 'fascination', 'one-sided love', 'widow', 'adoptive father', 'loss of husband', 'summer camp', 'secret love']",en,Lolita,23.962108999999998,"['Seven Arts Productions', 'Allied Artists', 'Transworld Pictures']","['United Kingdom', 'United States of America']",9250000,153.0,Released,7.3,395,1962,6,2
863,"['Sylvester Stallone', 'Courtney B. Vance', 'Tom Berenger']",['Jim Gillespie'],55000000,"['Action', 'Thriller']","['alcoholism', 'serial killer', 'hospital', 'police officer', 'detox']",en,D-Tox,12.669777999999999,['Universal Pictures'],['United States of America'],6416302,96.0,Released,5.3,123,2002,1,1
864,"['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman']",['Guillermo del Toro'],54000000,"['Fantasy', 'Horror', 'Action', 'Thriller']","['katana', 'mutation', 'vampire', 'silver', 'superhero', 'tragic villain', 'broken neck', 'lasersight', 'violence', 'exploding body', 'blade', 'subjective camera', 'torso cut in half', 'reaper', 'broken wrist', 'razor blade', 'shot through a door', 'sword duel', 'burnt face']",en,Blade II,67.16958699999999,"['New Line Cinema', 'Amen Ra Films', 'Milk & Honey', 'Imaginary Forces', 'Justin Pictures', 'Linovo Productions GmbH & Co. KG', 'Pacific Title and Art Studio', 'Marvel Enterprises']","['Germany', 'United States of America']",155010032,117.0,Released,6.2,1528,2002,3,1
865,"['Will Smith', 'Rosario Dawson', 'Sarah Jane Morris']",['Gabriele Muccino'],55000000,['Drama'],"['vegetarian', 'tax collector', 'pianist', 'blind', 'organ transplant', 'blood type']",en,Seven Pounds,41.472404,"['Columbia Pictures', 'Escape Artists', 'Relativity Media', 'Overbrook Entertainment']",['United States of America'],168167691,123.0,Released,7.5,2039,2008,12,4
866,"['Sylvester Stallone', 'Sung Kang', 'Sarah Shahi']",['Walter Hill'],55000000,"['Action', 'Crime', 'Thriller']",[],en,Bullet to the Head,22.503935000000002,"['Dark Castle Entertainment', 'After Dark Films', 'IM Global', 'Automatik Entertainment', 'Silver Reel', 'EMJAG Productions', 'Millar Gough Ink', 'Headshot Films']","['Switzerland', 'United States of America']",9489829,92.0,Released,5.2,481,2013,1,1
867,"['Al Pacino', 'Diane Keaton', 'Andy García']",['Francis Ford Coppola'],54000000,"['Crime', 'Drama', 'Thriller']","['italy', 'christianity', 'new york', 'assassination', 'italo-american', 'vatican', 'pope', 'confession', 'helicopter', 'daughter', 'lawyer']",en,The Godfather: Part III,59.194915,['Paramount Pictures'],"['Italy', 'United States of America']",136766062,162.0,Released,7.1,1546,1990,12,4
868,"['Orlando Bloom', 'Kirsten Dunst', 'Susan Sarandon']",['Cameron Crowe'],57000000,"['Comedy', 'Drama', 'Romance']","['suicide', 'hotel room', 'suicide attempt', 'new love', 'funeral', 'airplane', 'lovers', 'falling in love']",en,Elizabethtown,22.894898,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Vinyl Films', 'KMP Film Invest']",['United States of America'],52034889,123.0,Released,6.1,327,2005,10,4
869,"['Kate Hudson', 'Owen Wilson', 'Matt Dillon']","['Anthony Russo', 'Joe Russo']",54000000,"['Comedy', 'Romance']","['roommate', ""love of one's life"", 'newlywed']",en,"You, Me and Dupree",18.600367000000002,"['Universal Pictures', 'Kaplan/Perrone Entertainment', 'MMCB Film Produktion 2004']",['United States of America'],130431368,108.0,Released,5.4,407,2006,7,3
870,"['Gene Hackman', 'Christopher Reeve', 'Ned Beatty']",['Richard Lester'],54000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['saving the world', 'dc comics', 'sequel', 'superhero', 'based on comic book', 'loss of virginity', 'criminal', 'super powers', 'phantom zone', 'rocket fired grenade', 'crystal machine', 'superhuman strength', 'duringcreditsstinger']",en,Superman II,30.515175,"['Warner Bros.', 'Dovemead Films', 'Film Export A.G.']","['United Kingdom', 'United States of America']",190458706,127.0,Released,6.5,629,1980,12,4
871,"['Ben Affleck', 'Jennifer Lopez', 'Justin Bartha']",['Martin Brest'],54000000,['Drama'],"['new york', 'mentally disabled', 'kidnapping', 'blackmail', 'mission of murder', 'lovers', 'lesbian', 'mobster']",en,Gigli,9.053456,"['City Light Films', 'Revolution Studios', 'Casey Silver Productions']",['United States of America'],7266209,121.0,Released,3.5,104,2003,8,3
872,"['Sean Penn', 'Jude Law', 'Kate Winslet']",['Steven Zaillian'],55000000,"['Drama', 'Thriller']","['corruption', 'journalist', 'based on novel', 'blackmail', 'manipulation', 'bodyguard', 'louisiana', 'scandal', 'power', 'governor', 'politics', 'tragedy', 'mistress', 'aristocrat']",en,All the King's Men,7.768223,"['Columbia Pictures Corporation', 'Rising Star', 'Relativity Media', 'Phoenix Pictures', 'VIP 4 Medienfonds']",['United States of America'],9450897,125.0,Released,5.7,95,2006,9,3
873,"['Samuel L. Jackson', 'Jeffrey Wright', 'Christian Bale']",['John Singleton'],46000000,"['Action', 'Adventure', 'Crime', 'Thriller']","['corruption', 'black people', 'italo-american', 'brother sister relationship', 'drug dealer', 'revenge', 'murder', 'violence', 'drug', 'police officer', 'xenophobia']",en,Shaft,19.643365,"['Paramount Pictures', 'Scott Rudin Productions']","['Germany', 'United States of America']",107196498,99.0,Released,5.5,308,2000,6,2
874,"['Meg Ryan', 'John Cusack', 'Christopher Lloyd']","['Gary Goldman', 'Don Bluth']",53000000,"['Animation', 'Family']","['tzar', 'musical', 'russian revolution', 'train explosion', 'foreign language adaptation', 'exploding train']",en,Anastasia,45.565917999999996,"['Twentieth Century Fox Film Corporation', 'Fox Animation Studios', 'Fox Family Films', 'The Big Gun Project', 'Little Wolf Entertainment']",['United States of America'],139804348,94.0,Released,7.4,1432,1997,11,4
875,"['Nicole Kidman', 'Ewan McGregor', 'John Leguizamo']",['Baz Luhrmann'],52500000,"['Drama', 'Music', 'Romance']","['duke', 'musical', ""writer's block"", 'music', 'terminal illness', 'writer', 'no opening credits', 'moulin rouge', 'bohemian', 'toulouse lautrec', 'red curtain', 'cancan dance', 'la traviata', 'orpheus and eurydice', 'dance hall']",en,Moulin Rouge!,57.374341,"['Bazmark Films', 'Twentieth Century Fox Film Corporation']","['Australia', 'United States of America']",179213434,127.0,Released,7.4,1300,2001,3,1
876,"['John Travolta', 'Vince Vaughn', 'Teri Polo']",['Harold Becker'],75000000,"['Mystery', 'Thriller', 'Crime']","['menace', 'adoption', 'dangerous', 'adoptive father', 'threat to death', 'step father', 'murder', 'divorce', 'ex-wife', 'child', 'murder hunt']",en,Domestic Disturbance,8.418560000000001,['Paramount Pictures'],['United States of America'],54249294,89.0,Released,5.4,113,2001,10,4
877,"['Johnny Depp', 'Joel Edgerton', 'Benedict Cumberbatch']",['Scott Cooper'],53000000,"['Crime', 'Drama']","['boston', 'based on true story', 'organized crime']",en,Black Mass,46.049902,"['Infinitum Nihil', 'Head Gear Films', 'Cross Creek Pictures', 'Free State Pictures', 'RatPac-Dune Entertainment', 'Le Grisbi Productions', 'Vendian Entertainment']","['United Kingdom', 'United States of America']",98837872,122.0,Released,6.3,1242,2015,9,3
878,"['Ryan Phillippe', 'Adam Beach', 'Jesse Bradford']",['Clint Eastwood'],90000000,"['War', 'Drama', 'History']","['world war ii', 'dying and death', 'pacific', 'iwo jima', 'aftercreditsstinger', 'duringcreditsstinger']",en,Flags of Our Fathers,23.9366,"['DreamWorks SKG', 'Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']",['United States of America'],65900249,132.0,Released,6.7,526,2006,10,4
879,"['Jamie Foxx', 'Gerard Butler', 'Colm Meaney']",['F. Gary Gray'],53000000,"['Drama', 'Crime', 'Thriller']","['tattoo', 'secret passage', 'baseball bat', 'deal', 'explosion', 'justice', 'district attorney', 'courtroom', 'vigilantism']",en,Law Abiding Citizen,49.593978,"['Film Department, The', 'Evil Twins', 'Warp Films']",['United States of America'],126690726,109.0,Released,7.2,1486,2009,10,4
880,"['Kurt Russell', 'Zoë Bell']","['Robert Rodriguez', 'Quentin Tarantino', 'Edgar Wright', 'Eli Roth', 'Rob Zombie', 'Jason Eisener']",67000000,"['Thriller', 'Action', 'Horror']","['exploitation', 'slasher', 'zombie', 'killer']",en,Grindhouse,16.637642,"['Big Talk Productions', 'Yer Dead Productions', 'Weinstein Company, The', 'Dimension Films', 'Troublemaker Studios', 'Dartmouth International', 'Eyetronics', 'Rodriguez International Pictures']",['United States of America'],25037897,191.0,Released,6.8,459,2007,4,2
883,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",['Steven Spielberg'],52000000,"['Drama', 'Crime']","['con man', 'biography', 'fbi agent', 'overhead camera shot', 'attempted jailbreak', 'engagement party', 'mislaid trust', 'bank fraud', 'inspired by a true story']",en,Catch Me If You Can,73.94404899999999,"['Kemp Company', 'Splendid Pictures', 'Parkes/MacDonald Productions']",['United States of America'],352114312,141.0,Released,7.7,3795,2002,12,4
884,"['Jessica Chastain', 'Jason Clarke', 'Mark Strong']",['Kathryn Bigelow'],40000000,"['Thriller', 'Drama', 'History']","['assassination', 'cia', 'hotel', 'terrorist', 'prisoner', 'car dealer', 'mossad', 'van', 'iraq', 'pakistan', 'osama bin laden', 'man hunt', 'navy seal', 'f word', 'female protagonist', 'gunfight', 'raid', 'violence', 'text message', 'monkey', 'dog', 'special forces', 'tied up', 'military', 'area 51', 'terrorist group', 'torturing', 'woman director', 'al qaeda', 'prison camp', 'water torture', 'suicide bombing', '21st century', 'ex special forces', 'post 9/11', 'helicopter crash', 'islamabad']",en,Zero Dark Thirty,38.306954,"['Columbia Pictures', 'Annapurna Pictures', 'First Light Production']",['United States of America'],132820716,157.0,Released,6.7,1702,2012,12,4
